,idioma,$V$,$E$,$<k>$,$L$,$C$,$D$,$NC$,$NH$,$\alpha_1$,$R^2_1$,$\alpha_2$,$R^2_2$
0,danes,2470,7345,5.947368421052632,3.0680762097785825,0.2400891579776188,8,0.1826114262195352,3.511426262882053,1.053643175753788,0.6879084033396857,0.4148445849480745,0.8853172610599472
1,holandes,2277,7054,6.195871761089152,2.941805539154053,0.30495342934489367,6,0.3020647369237573,3.9316777440205124,1.0776952624495801,0.6928910646172024,0.49904693688014945,0.9091020602660034
2,euskera,3039,7378,4.855544587035209,3.703624442484697,0.07361137520151372,9,0.17674987072815307,2.944495421610971,1.2108945255324672,0.6946550758836069,0.3798354971365233,0.8093403960516795
3,espanol,2722,7867,5.780308596620133,2.9584676399117433,0.34869903886639547,7,0.23997706358226664,4.354919746819018,0.969457502357859,0.6600393350055814,0.5686103811009184,0.9131763730339771
4,aleman,2533,7290,5.756020529016976,3.140608735621861,0.22861405524952758,8,0.20814911415757498,3.6940992243766737,1.1033205960571595,0.7221950546548518,0.47380510119490227,0.868462538923014
5,catalan,2357,7369,6.252863809927875,3.025120419398778,0.2823363170180636,9,0.2014189572223907,3.6080816300214162,1.040491771267767,0.7521812550364965,0.5088141850245952,0.8741931287438933
6,checo,3165,7345,4.641390205371248,3.5984575686584663,0.11454208503028597,11,0.18305122997066126,3.540431167321019,1.176933438052693,0.6748859222031575,0.4178311012695313,0.7727693649812921
7,indonesio,1980,7777,7.855555555555555,3.005678309114388,0.24452778653238802,7,0.2525961994885694,2.8932022082551514,1.114215362669187,0.7393100195734691,0.37955858317991703,0.8312596984237133
8,rumano,2771,7818,5.642728256946951,3.2030048191232816,0.19266976662909716,9,0.17118557728510997,3.5744540277201464,1.108616746235724,0.6822345501526467,0.4759684390745874,0.7997009588249662
9,chino,1358,1446,2.12960235640648,18.52803713467397,0.002455902698473954,64,0.03819501347401734,0.8158317818885235,1.1875429693537871,0.3975622369902403,0.18970547078542013,0.7252267018812366
10,sueco,2625,7239,5.515428571428571,3.150303426248548,0.20492098073360385,8,0.1773266550522648,3.570784086475414,1.0891389335647537,0.6879358654270142,0.41374498139325794,0.9033178223145415
11,sloveno,3130,7450,4.76038338658147,3.481501811866115,0.12746723701276036,10,0.17419747451696335,3.5752922723415486,1.1313515700404662,0.6891245138035903,0.40966579485163235,0.7799778269170936
12,coreano,3875,7387,3.8126451612903227,4.575162522690559,0.025732627822561367,17,0.11514486985194931,2.4161329081579206,1.4219977524546568,0.7043493362900181,0.20492451074507423,0.24412588304931754
13,polaco,3290,7516,4.568996960486322,3.637847998440043,0.10892606684915032,11,0.18006979144814483,3.50476537348053,1.1756493571091962,0.6800091535676084,0.40212626857493733,0.8550059575012856
14,persico,2554,8360,6.546593578700079,3.091081752822926,0.19618133254119205,8,0.2754310266822609,3.4302693249940845,1.1399808692579805,0.7212959744291865,0.4424049872381027,0.8679410870395574
15,tailandes,4508,9949,4.413930789707187,3.965002680440502,0.05855002184222414,11,0.07200201638425409,2.681531004719265,1.2378894768650477,0.6952959542810704,0.20256463854349804,0.3868612574243459
16,turco,3220,7155,4.444099378881988,3.7637532585058824,0.0835588214717822,15,0.17284301864511759,3.249332473560147,1.2170251593129353,0.7027909103847576,0.32168121815540024,0.5735290963964519
17,arabe,3625,7664,4.2284137931034484,4.002663926314988,0.07180670776132342,14,0.14504011570373754,3.1951227932101096,1.210463869506373,0.7091565387601314,0.3849843736901492,0.6570083010538806
18,hungaro,3284,6959,4.238124238733252,3.3637939586909718,0.16293118002682158,11,0.29073099416289505,5.086976647983454,1.1061090158971378,0.6598946619595966,0.5954281641101851,0.9222264670225406
19,griego,2747,7763,5.651983982526392,3.1666825307141657,0.24004005586756919,8,0.16903748007161887,3.5766840937633466,1.0667146184585672,0.7013426970805929,0.49220998441034425,0.7979307480544353
20,noruego,2483,7285,5.867901731776078,3.1011448356479177,0.2333573300634528,8,0.1800764132442267,3.4886374121594543,1.0747114367941555,0.6847568412646664,0.42735688036476543,0.8971994731391753
21,macedonio,2774,7623,5.496034607065609,3.095974131020857,0.21818424153779553,8,0.2655017964713294,4.233851978352901,1.0487602419976823,0.6503998027994844,0.5744304699986604,0.8574998134765419
22,frances,2431,7609,6.2599753187988485,2.9827648023726456,0.2954192799339021,6,0.22737040253380122,3.7112988727464193,1.0381703068427253,0.6818273488173145,0.54581962971965,0.8646510080958604
23,finlandes,3481,6881,3.9534616489514507,3.8760202346399337,0.09217528827860384,14,0.1758245912952745,3.868950705075237,1.2158576465784132,0.6709900363965311,0.4304080357809736,0.7191696380534623
24,vietnamita,1352,8096,11.976331360946746,2.9522729164020514,0.17049320837882015,7,0.2048926063971899,1.9854024013644245,1.0944342817936108,0.7284097924983852,0.19805701227692168,0.6668813031032771
25,ingles,2221,7409,6.671769473210266,2.8941098685358027,0.32420960108803315,7,0.3085660626858286,3.933310703601288,1.058846109209368,0.6910294324093698,0.5355329606099553,0.909229816248863
26,italiano,2499,7819,6.257703081232493,3.138031513646291,0.20121548229650424,6,0.16716278184612515,3.288405724092894,1.1007031740913433,0.7424219416780118,0.5124610691682596,0.7850209859267121
27,portugues,2418,7360,6.08767576509512,3.062025841904924,0.2607346046857628,7,0.18275839766090277,3.597156643866973,1.0664026661712314,0.732298016977681,0.5110321215298779,0.8588225957857631
28,serbio,3121,7188,4.606215956424223,3.5525306238138663,0.1284875781379615,13,0.16289404283636902,3.5499459505197337,1.1363712674921504,0.6592810670434653,0.4081099586999495,0.8388329049049386
29,ruso,3285,7570,4.60882800608828,3.6393459733739713,0.11205601704087371,14,0.16115365862249884,3.4328132810329386,1.220819982540907,0.7110373623214372,0.4056285653724474,0.8228186784833449
30,slovaco,3290,7281,4.4261398176291795,3.6372731801038922,0.11119346267169825,13,0.17950532353862605,3.717212825729462,1.156562733441566,0.6912722058355127,0.4558982390311274,0.8854461273293487
