,idioma,$V$,$E$,$<k>$,$L$,$C$,$D$,$NC$,$NH$,$\alpha_1$,$R^2_1$,$\alpha_2$,$R^2_2$
0,frances,4868,21167,8.696384552177486,2.80512815924124,0.4712322375896813,6,0.3244251907645591,4.726561423955235,1.0165947939206685,0.70574514073409,0.5389288867601875,0.904038846418908
1,italiano,5190,20891,8.0504816955684,2.8535325393757582,0.38157691619706124,6,0.36068361596396115,5.085643497505627,1.0610461736064927,0.7229123126591613,0.5891303351578088,0.8463098521874489
2,aleman,5099,21589,8.467934889193959,2.8924341583142597,0.3852949975913355,6,0.3366405969954954,4.543143358104888,1.0732868471881243,0.7285820019201806,0.44255325382028127,0.9077086933882691
3,espanol,5214,20195,7.746451860375911,2.7830239985295386,0.45634982221282605,6,0.36636978560650396,5.619479980713973,1.0285926599360604,0.7005134631343042,0.6102694835234056,0.930558125833241
4,turco,7476,18637,4.985821294810059,3.3324899298714636,0.16191922938385514,10,0.34671127764923565,6.588285523567401,1.2759441289545776,0.7491597735542032,0.6113404346303482,0.9549396045119328
5,euskera,7144,22807,6.384938409854423,3.2217989906719224,0.1924914766323847,8,0.3336525990644801,5.419360405193594,1.2341603319851155,0.7411692253992473,0.5300437041652615,0.9432157967825288
6,portugues,4936,20511,8.310777957860616,2.8024752085047266,0.44555623934815797,6,0.3690614947313454,5.136977511579951,1.0729641881899046,0.7163623199073869,0.5739575980031163,0.9139368149400375
7,ruso,9066,26111,5.760202956099713,3.1552160055894576,0.27944739038495126,9,0.31328470787674717,6.808791608814129,1.0943740007649267,0.6937221297381996,0.5492643974292033,0.9587364593493198
8,ingles,3268,17897,10.952876376988984,2.691579381965495,0.4984206470872539,6,0.3632324880794893,3.8858846985243907,1.0399064574379213,0.7464785137867669,0.48811051975626174,0.9246050677324591
9,chino,6304,7179,2.2776015228426396,12.042782936737078,0.005267547397764248,57,0.014867074417065116,1.1591119581586573,1.2212114809157297,0.5049705671218726,0.2339402313078417,0.24353971731401222
